rate,fundName,frequency,loanPeriodMax,repaymentFreedomMax,isinCode,name
"*&nbsp;101,720","5,00% NORDEA KREDIT SDRO IO30 2056 <sup> 2)</sup>",,30,30,DK0002059070,"5,00% - 30 år"
"98,975","4,00% NORDEA KREDIT SDRO IO30 2056",,30,30,DK0002060086,"4,00% - 30 år"
"99,850","4,00% NORDEA KREDIT SDRO IO 2056 <sup> 2)</sup>",,30,10,DK0002059906,"4,00% - 30 år"
"96,300","3,50% NORDEA KREDIT SDRO IO 2056",,30,10,DK0002061563,"3,50% - 30 år"
"97,350","3,50% NORDEA KREDIT SDRO ANN SDRO 2056",,30,Nej,DK0002061217,"3,50% - 30 år"
"*&nbsp;101,725","5,00% NORDEA KREDIT SDRO 2046 <sup> 2)</sup>",,20,Nej,DK0002059153,"5,00% - 20 år"
"95,375","3,00% NORDEA KREDIT SDRO 2046",,20,Nej,DK0002061134,"3,00% - 20 år"
"95,375","3,00% NORDEA KREDIT SDRO 2046",,15,Nej,DK0002061134,"3,00% - 15 år"
"*&nbsp;101,725","5,00% NORDEA KREDIT SDRO 2046 <sup> 2)</sup>",,15,Nej,DK0002059153,"5,00% - 15 år"
"101,550","5,00% NORDEA KREDIT SDRO IO 2056 <sup> 2)</sup>",,30,10,DK0002058429,"5,00% - 30 år"
"101,925","5,00% NORDEA KREDIT SDRO 2056 <sup> 2)</sup>",,30,Nej,DK0002058346,"5,00% - 30 år"
"100,425","4,00% NORDEA KREDIT SDRO 2056 <sup> 2)</sup>",,30,Nej,DK0002059237,"4,00% - 30 år"
"100,575","4,00% NORDEA KREDIT SDRO 2046 <sup> 2)</sup>",,20,Nej,DK0002058502,"4,00% - 20 år"
"100,575","4,00% NORDEA KREDIT SDRO 2046 <sup> 2)</sup>",,15,Nej,DK0002058502,"4,00% - 15 år"
